leaves_opposite,sessile,erect,petals_purple,floral_tube_cylindrical,rounded_at_the_base,alternate_distally,inflorescence_raceme,base_attenuate,stamens_12,inflorescence_spikelike,with_flowers_in_whorled_clusters,becoming_alternate_distally,calyx_with_alternate_long_and_small_teeth,stamens_6,subsessile,leaves_alternate,stamens_5_8,base_obtuse_to_truncate,sprawling_or_ascending
1.0,0.9942831420211569,0.9800063616122143,0.7976183560848098,0.8958279680659285,0.9997219905476786,1.0,0.7253507212013436,0.9867274989630859,0.711756077116513,0.8901003994386268,0.8900347494675485,1.0,0.8751610409688225,0.8833357338326372,0.06101813110181311,0.0,0.9004392386530015,0.0,0.0
0.833761135437113,1.0,0.9016222111146454,0.7273889050246878,0.8958279680659285,1.0,1.0,0.5901995653032998,0.9867274989630859,0.711756077116513,0.7550469610277448,0.8900347494675485,0.9988667271078876,0.8787683586704458,0.8663401987613424,0.0,0.019891500904159132,0.0,0.0,0.0
0.8140948210780613,0.8931802835921675,1.0,0.7317455707232065,0.8231393252639712,0.9051061069409694,0.9050797182054134,0.6511558980438649,0.8698672749896309,0.6530804694048616,0.6728921515707654,0.8171729626723462,0.9118313689936537,0.8030146869363566,0.7972058188103125,0.0,0.007956600361663653,0.40007320644216693,0.0,0.0
0.5183074135588102,0.5636731937879811,0.5724087790248558,1.0,0.9007854751480814,0.6295060698730424,0.6296811271783463,0.9451689389448725,0.5940481128162588,1.0,0.8256504372233617,0.8573029929380115,0.6492520398912058,0.9853130636433909,0.9135820250612128,0.5854253835425384,0.6072332730560579,0.486090775988287,0.623468251021166,0.6224032586558045
0.5252151592933716,0.6263335584064821,0.5809515154269096,0.8127214638396747,1.0,0.6295060698730424,0.6296811271783463,0.6531317921359415,0.6194525093322273,0.8013411567476949,0.8256504372233617,1.0,0.6492520398912058,0.9853130636433909,0.9521820538672043,0.0,0.0,0.0,0.0,0.0
0.40721727313906086,0.48575286968264686,0.4438133321215977,0.3945977345338368,0.43735513778006696,1.0,1.0,0.0,0.0,0.711756077116513,0.7333477275180827,0.7614617195381683,0.0,0.8751610409688225,0.0,0.0,0.00108499095840868,0.0,0.0,0.0
0.40721727313906086,0.48561782579338286,0.44367701185986275,0.3945977345338368,0.43735513778006696,0.9997219905476786,1.0,0.0,0.0,0.711756077116513,0.7333477275180827,0.7614617195381683,0.0,0.8751610409688225,0.0,0.0,0.0,0.0,0.0,0.0
0.2771402687603805,0.2689173981544002,0.29949561503158084,0.5557362765030497,0.4256373937677054,0.0,0.0,1.0,0.628369970966404,0.19865884325230512,0.0,0.0,0.6497053490480508,0.0,0.993518651879591,0.5854253835425384,0.6072332730560579,0.486090775988287,0.623468251021166,0.6224032586558045
0.3592027781971916,0.42835921674544225,0.38119689189803246,0.332791170490851,0.3846252897244399,0.0,0.0,0.5986959098992294,1.0,0.0,0.021699233509662096,0.0,0.9988667271078876,0.0,0.8728215468817514,0.0,0.0,0.0,0.0,0.0
0.2564170315566964,0.3057843799234751,0.2832280637978825,0.554400232355504,0.49240278135462273,0.6295060698730424,0.6296811271783463,0.1873147599288678,0.0,1.0,0.8256504372233617,0.8573029929380115,0.0,0.9853130636433909,0.0,0.5854253835425384,0.6072332730560579,0.0,0.623468251021166,0.6224032586558045
0.31122603049977354,0.3148323205041639,0.2832280637978825,0.4442637234969503,0.49240278135462273,0.6295060698730424,0.6296811271783463,0.0,0.02084197428452924,0.8013411567476949,1.0,0.8573029929380115,0.0,0.9853130636433909,0.0,0.0,0.0,0.513909224011713,0.0,0.0
0.29971312094217123,0.35741616025208195,0.33125823601581317,0.4442637234969503,0.5743626062322946,0.6295060698730424,0.6296811271783463,0.0,0.0,0.8013411567476949,0.8256504372233617,1.0,0.0,0.9853130636433909,0.0,0.0,0.0,0.0,0.0,0.0
0.3330816850369923,0.39675894665766376,0.3656109419730086,0.332791170490851,0.3688514035539531,0.0,0.0,0.5663900414937759,0.9139361260887598,0.0,0.0,0.0,1.0,0.0,0.8257237505401124,0.0,0.0,0.0,0.0,0.0
