	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
111665	Achillea millefolium	6359334	42	Plant growth form	Plant growth form	perennial forb	
111674	Achillea millefolium	6359334	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	30.0	mm2 mg-1
111675	Achillea millefolium	6359335	42	Plant growth form	Plant growth form	perennial forb	
111684	Achillea millefolium	6359335	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	32.89655172	mm2 mg-1
111685	Achillea millefolium	6359336	42	Plant growth form	Plant growth form	perennial forb	
111692	Achillea millefolium	6359336	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.3	mg
111694	Achillea millefolium	6359336	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	32.03174603	mm2 mg-1
111695	Achillea millefolium	6359337	42	Plant growth form	Plant growth form	perennial forb	
111704	Achillea millefolium	6359337	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	32.13157895	mm2 mg-1
111705	Achillea millefolium	6359338	42	Plant growth form	Plant growth form	perennial forb	
111712	Achillea millefolium	6359338	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	9.0	mg
111714	Achillea millefolium	6359338	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	6.666666667	mm2 mg-1
111715	Achillea millefolium	6359339	42	Plant growth form	Plant growth form	perennial forb	
111722	Achillea millefolium	6359339	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.4	mg
111724	Achillea millefolium	6359339	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	22.203125	mm2 mg-1
111725	Achillea millefolium	6359340	42	Plant growth form	Plant growth form	perennial forb	
111735	Achillea millefolium	6359341	42	Plant growth form	Plant growth form	perennial forb	
111745	Achillea millefolium	6359342	42	Plant growth form	Plant growth form	perennial forb	
111755	Achillea millefolium	6359343	42	Plant growth form	Plant growth form	perennial forb	
111765	Achillea millefolium	6359344	42	Plant growth form	Plant growth form	perennial forb	
111772	Achillea millefolium	6359344	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	10.2	mg
111774	Achillea millefolium	6359344	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	28.25490196	mm2 mg-1
111775	Achillea millefolium	6359345	42	Plant growth form	Plant growth form	perennial forb	
111782	Achillea millefolium	6359345	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	7.3	mg
111785	Achillea millefolium	6359346	42	Plant growth form	Plant growth form	perennial forb	
111794	Achillea millefolium	6359346	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	23.48484848	mm2 mg-1
111795	Achillea millefolium	6359347	42	Plant growth form	Plant growth form	perennial forb	
111802	Achillea millefolium	6359347	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.9	mg
111804	Achillea millefolium	6359347	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	18.73913043	mm2 mg-1
111805	Achillea millefolium	6359348	42	Plant growth form	Plant growth form	perennial forb	
111815	Achillea millefolium	6359349	42	Plant growth form	Plant growth form	perennial forb	
111822	Achillea millefolium	6359349	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.5	mg
111824	Achillea millefolium	6359349	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	27.06153846	mm2 mg-1
111825	Achillea millefolium	6359350	42	Plant growth form	Plant growth form	perennial forb	
111834	Achillea millefolium	6359350	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	33.93103448	mm2 mg-1
111835	Achillea millefolium	6359351	42	Plant growth form	Plant growth form	perennial forb	
111844	Achillea millefolium	6359351	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	30.46938776	mm2 mg-1
111845	Achillea millefolium	6359352	42	Plant growth form	Plant growth form	perennial forb	
