	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
17072	Dactylis glomerata	2284246	159	Seedbank type	Seedbank type	present	
17078	Dactylis glomerata	2284246	1111	Seedbank density	Seedbank density	7.0	1/m2
17076	Dactylis glomerata	2284246	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17086	Dactylis glomerata	2284247	159	Seedbank type	Seedbank type	present	
17093	Dactylis glomerata	2284247	1111	Seedbank density	Seedbank density	781.0	1/m2
17090	Dactylis glomerata	2284247	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17092	Dactylis glomerata	2284247	2809	Seedbank duration	Seedbank duration (month)	4.0	month
17101	Dactylis glomerata	2284248	159	Seedbank type	Seedbank type	present	
17107	Dactylis glomerata	2284248	1111	Seedbank density	Seedbank density	63.0	1/m2
17115	Dactylis glomerata	2284249	159	Seedbank type	Seedbank type	present	
17121	Dactylis glomerata	2284249	1111	Seedbank density	Seedbank density	13.0	1/m2
17129	Dactylis glomerata	2284250	159	Seedbank type	Seedbank type	present	
17136	Dactylis glomerata	2284250	1111	Seedbank density	Seedbank density	17.0	1/m2
17133	Dactylis glomerata	2284250	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17135	Dactylis glomerata	2284250	2809	Seedbank duration	Seedbank duration (month)	3.0	month
17144	Dactylis glomerata	2284251	159	Seedbank type	Seedbank type	present	
17151	Dactylis glomerata	2284251	1111	Seedbank density	Seedbank density	110.0	1/m2
17159	Dactylis glomerata	2284252	159	Seedbank type	Seedbank type	short-term persistent	
17166	Dactylis glomerata	2284252	1111	Seedbank density	Seedbank density	119.0	1/m2
17163	Dactylis glomerata	2284252	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17164	Dactylis glomerata	2284252	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	70.0	mm
17165	Dactylis glomerata	2284252	2809	Seedbank duration	Seedbank duration (month)	2.0	month
17178	Dactylis glomerata	2284253	33	Seed (seedbank) longevity	Seed longevity (max possible)	2.0	year
17174	Dactylis glomerata	2284253	159	Seedbank type	Seedbank type	short-term persistent	
17177	Dactylis glomerata	2284253	1111	Seedbank density	Seedbank density	0.0	1/m2
17190	Dactylis glomerata	2284254	33	Seed (seedbank) longevity	Seedbank longevity	2.0	year
17186	Dactylis glomerata	2284254	159	Seedbank type	Seedbank type	short-term persistent	
17189	Dactylis glomerata	2284254	1111	Seedbank density	Seedbank density	0.0	1/m2
17202	Dactylis glomerata	2284255	33	Seed (seedbank) longevity	Seedbank longevity	1.0	year
17198	Dactylis glomerata	2284255	159	Seedbank type	Seedbank type	short-term persistent	
17201	Dactylis glomerata	2284255	1111	Seedbank density	Seedbank density	0.0	1/m2
17214	Dactylis glomerata	2284256	33	Seed (seedbank) longevity	Seedbank longevity	4.0	year
17210	Dactylis glomerata	2284256	159	Seedbank type	Seedbank type	short-term persistent	
17213	Dactylis glomerata	2284256	1111	Seedbank density	Seedbank density	0.0	1/m2
17222	Dactylis glomerata	2284257	159	Seedbank type	Seedbank type	short-term persistent	
17225	Dactylis glomerata	2284257	1111	Seedbank density	Seedbank density	0.0	1/m2
17234	Dactylis glomerata	2284258	159	Seedbank type	Seedbank type	short-term persistent	
17237	Dactylis glomerata	2284258	1111	Seedbank density	Seedbank density	0.0	1/m2
17250	Dactylis glomerata	2284259	33	Seed (seedbank) longevity	Seedbank longevity	2.0	year
17246	Dactylis glomerata	2284259	159	Seedbank type	Seedbank type	short-term persistent	
17249	Dactylis glomerata	2284259	1111	Seedbank density	Seedbank density	0.0	1/m2
17262	Dactylis glomerata	2284260	33	Seed (seedbank) longevity	Seedbank longevity	2.0	year
17258	Dactylis glomerata	2284260	159	Seedbank type	Seedbank type	short-term persistent	
17261	Dactylis glomerata	2284260	1111	Seedbank density	Seedbank density	0.0	1/m2
17274	Dactylis glomerata	2284261	33	Seed (seedbank) longevity	Seedbank longevity	2.0	year
17270	Dactylis glomerata	2284261	159	Seedbank type	Seedbank type	short-term persistent	
17273	Dactylis glomerata	2284261	1111	Seedbank density	Seedbank density	0.0	1/m2
17282	Dactylis glomerata	2284262	159	Seedbank type	Seedbank type	short-term persistent	
17290	Dactylis glomerata	2284262	1111	Seedbank density	Seedbank density	35.0	1/m2
17286	Dactylis glomerata	2284262	2807	Seedbank number of layers	Seedbank number of layers	5.0	1/plant
17287	Dactylis glomerata	2284262	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	80.0	mm
17298	Dactylis glomerata	2284263	159	Seedbank type	Seedbank type	short-term persistent	
17306	Dactylis glomerata	2284263	1111	Seedbank density	Seedbank density	164.0	1/m2
17318	Dactylis glomerata	2284264	33	Seed (seedbank) longevity	Seed longevity (max possible)	1.0	year
17314	Dactylis glomerata	2284264	159	Seedbank type	Seedbank type	short-term persistent	
17317	Dactylis glomerata	2284264	2809	Seedbank duration	Seedbank duration (month)	12.0	month
17326	Dactylis glomerata	2284265	159	Seedbank type	Seedbank type	short-term persistent	
17338	Dactylis glomerata	2284266	159	Seedbank type	Seedbank type	short-term persistent	
17350	Dactylis glomerata	2284267	159	Seedbank type	Seedbank type	short-term persistent	
17362	Dactylis glomerata	2284268	159	Seedbank type	Seedbank type	short-term persistent	
17374	Dactylis glomerata	2284269	159	Seedbank type	Seedbank type	short-term persistent	
17382	Dactylis glomerata	2284269	1111	Seedbank density	Seedbank density	1200.0	1/m2
17378	Dactylis glomerata	2284269	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17379	Dactylis glomerata	2284269	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	200.0	mm
17381	Dactylis glomerata	2284269	2809	Seedbank duration	Seedbank duration (month)	0.0	month
17390	Dactylis glomerata	2284270	159	Seedbank type	Seedbank type	short-term persistent	
17398	Dactylis glomerata	2284270	1111	Seedbank density	Seedbank density	500.0	1/m2
17395	Dactylis glomerata	2284270	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	25.0	mm
17406	Dactylis glomerata	2284271	159	Seedbank type	Seedbank type	short-term persistent	
17410	Dactylis glomerata	2284271	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17421	Dactylis glomerata	2284272	159	Seedbank type	Seedbank type	short-term persistent	
17429	Dactylis glomerata	2284272	1111	Seedbank density	Seedbank density	1178.0	1/m2
17437	Dactylis glomerata	2284273	159	Seedbank type	Seedbank type	short-term persistent	
17453	Dactylis glomerata	2284274	159	Seedbank type	Seedbank type	short-term persistent	
17461	Dactylis glomerata	2284274	1111	Seedbank density	Seedbank density	1735.0	1/m2
17469	Dactylis glomerata	2284275	159	Seedbank type	Seedbank type	short-term persistent	
17485	Dactylis glomerata	2284276	159	Seedbank type	Seedbank type	short-term persistent	
17493	Dactylis glomerata	2284276	1111	Seedbank density	Seedbank density	286.0	1/m2
17489	Dactylis glomerata	2284276	2807	Seedbank number of layers	Seedbank number of layers	2.0	1/plant
17492	Dactylis glomerata	2284276	2809	Seedbank duration	Seedbank duration (month)	24.0	month
17501	Dactylis glomerata	2284277	159	Seedbank type	Seedbank type	short-term persistent	
17517	Dactylis glomerata	2284278	159	Seedbank type	Seedbank type	short-term persistent	
17533	Dactylis glomerata	2284279	159	Seedbank type	Seedbank type	short-term persistent	
17541	Dactylis glomerata	2284279	1111	Seedbank density	Seedbank density	36.0	1/m2
17537	Dactylis glomerata	2284279	2807	Seedbank number of layers	Seedbank number of layers	7.0	1/plant
17549	Dactylis glomerata	2284280	159	Seedbank type	Seedbank type	short-term persistent	
17557	Dactylis glomerata	2284280	1111	Seedbank density	Seedbank density	900.0	1/m2
17553	Dactylis glomerata	2284280	2807	Seedbank number of layers	Seedbank number of layers	2.0	1/plant
17565	Dactylis glomerata	2284281	159	Seedbank type	Seedbank type	short-term persistent	
17581	Dactylis glomerata	2284282	159	Seedbank type	Seedbank type	short-term persistent	
17589	Dactylis glomerata	2284282	1111	Seedbank density	Seedbank density	234.0	1/m2
17597	Dactylis glomerata	2284283	159	Seedbank type	Seedbank type	short-term persistent	
17613	Dactylis glomerata	2284284	159	Seedbank type	Seedbank type	short-term persistent	
17620	Dactylis glomerata	2284284	1111	Seedbank density	Seedbank density	13.0	1/m2
17617	Dactylis glomerata	2284284	2807	Seedbank number of layers	Seedbank number of layers	3.0	1/plant
17618	Dactylis glomerata	2284284	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	55.0	mm
17628	Dactylis glomerata	2284285	159	Seedbank type	Seedbank type	short-term persistent	
17635	Dactylis glomerata	2284285	1111	Seedbank density	Seedbank density	55.0	1/m2
17643	Dactylis glomerata	2284286	159	Seedbank type	Seedbank type	short-term persistent	
17650	Dactylis glomerata	2284286	1111	Seedbank density	Seedbank density	6.0	1/m2
17649	Dactylis glomerata	2284286	2809	Seedbank duration	Seedbank duration (month)	1.5	month
17662	Dactylis glomerata	2284287	33	Seed (seedbank) longevity	Seed longevity (max possible)	2.0	year
17658	Dactylis glomerata	2284287	159	Seedbank type	Seedbank type	short-term persistent	
17661	Dactylis glomerata	2284287	1111	Seedbank density	Seedbank density	0.0	1/m2
17670	Dactylis glomerata	2284288	159	Seedbank type	Seedbank type	short-term persistent	
17673	Dactylis glomerata	2284288	1111	Seedbank density	Seedbank density	0.0	1/m2
17682	Dactylis glomerata	2284289	159	Seedbank type	Seedbank type	short-term persistent	
17685	Dactylis glomerata	2284289	1111	Seedbank density	Seedbank density	0.0	1/m2
17694	Dactylis glomerata	2284290	159	Seedbank type	Seedbank type	short-term persistent	
17701	Dactylis glomerata	2284290	1111	Seedbank density	Seedbank density	54.0	1/m2
17700	Dactylis glomerata	2284290	2809	Seedbank duration	Seedbank duration (month)	24.0	month
17709	Dactylis glomerata	2284291	159	Seedbank type	Seedbank type	short-term persistent	
17716	Dactylis glomerata	2284291	1111	Seedbank density	Seedbank density	237.0	1/m2
17724	Dactylis glomerata	2284292	159	Seedbank type	Seedbank type	short-term persistent	
17739	Dactylis glomerata	2284293	159	Seedbank type	Seedbank type	short-term persistent	
17746	Dactylis glomerata	2284293	1111	Seedbank density	Seedbank density	140.0	1/m2
17754	Dactylis glomerata	2284294	159	Seedbank type	Seedbank type	transient	
17762	Dactylis glomerata	2284294	1111	Seedbank density	Seedbank density	0.0	1/m2
17758	Dactylis glomerata	2284294	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17761	Dactylis glomerata	2284294	2809	Seedbank duration	Seedbank duration (month)	14.0	month
17770	Dactylis glomerata	2284295	159	Seedbank type	Seedbank type	transient	
17778	Dactylis glomerata	2284295	1111	Seedbank density	Seedbank density	0.0	1/m2
17786	Dactylis glomerata	2284296	159	Seedbank type	Seedbank type	transient	
17794	Dactylis glomerata	2284296	1111	Seedbank density	Seedbank density	0.0	1/m2
17802	Dactylis glomerata	2284297	159	Seedbank type	Seedbank type	transient	
17810	Dactylis glomerata	2284297	1111	Seedbank density	Seedbank density	0.0	1/m2
17818	Dactylis glomerata	2284298	159	Seedbank type	Seedbank type	transient	
17826	Dactylis glomerata	2284298	1111	Seedbank density	Seedbank density	0.0	1/m2
17834	Dactylis glomerata	2284299	159	Seedbank type	Seedbank type	transient	
17842	Dactylis glomerata	2284299	1111	Seedbank density	Seedbank density	0.0	1/m2
17838	Dactylis glomerata	2284299	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17839	Dactylis glomerata	2284299	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	50.0	mm
17841	Dactylis glomerata	2284299	2809	Seedbank duration	Seedbank duration (month)	7.0	month
17850	Dactylis glomerata	2284300	159	Seedbank type	Seedbank type	transient	
17858	Dactylis glomerata	2284300	1111	Seedbank density	Seedbank density	0.0	1/m2
17854	Dactylis glomerata	2284300	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17855	Dactylis glomerata	2284300	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	300.0	mm
17857	Dactylis glomerata	2284300	2809	Seedbank duration	Seedbank duration (month)	3.0	month
17866	Dactylis glomerata	2284301	159	Seedbank type	Seedbank type	transient	
17874	Dactylis glomerata	2284301	1111	Seedbank density	Seedbank density	0.0	1/m2
17882	Dactylis glomerata	2284302	159	Seedbank type	Seedbank type	transient	
17890	Dactylis glomerata	2284302	1111	Seedbank density	Seedbank density	0.0	1/m2
17898	Dactylis glomerata	2284303	159	Seedbank type	Seedbank type	transient	
17905	Dactylis glomerata	2284303	1111	Seedbank density	Seedbank density	0.0	1/m2
17902	Dactylis glomerata	2284303	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17913	Dactylis glomerata	2284304	159	Seedbank type	Seedbank type	transient	
17920	Dactylis glomerata	2284304	1111	Seedbank density	Seedbank density	0.0	1/m2
17928	Dactylis glomerata	2284305	159	Seedbank type	Seedbank type	transient	
17935	Dactylis glomerata	2284305	1111	Seedbank density	Seedbank density	0.0	1/m2
17943	Dactylis glomerata	2284306	159	Seedbank type	Seedbank type	transient	
17950	Dactylis glomerata	2284306	1111	Seedbank density	Seedbank density	0.0	1/m2
17958	Dactylis glomerata	2284307	159	Seedbank type	Seedbank type	transient	
17966	Dactylis glomerata	2284307	1111	Seedbank density	Seedbank density	0.0	1/m2
17962	Dactylis glomerata	2284307	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
17965	Dactylis glomerata	2284307	2809	Seedbank duration	Seedbank duration (month)	17.0	month
17974	Dactylis glomerata	2284308	159	Seedbank type	Seedbank type	transient	
17982	Dactylis glomerata	2284308	1111	Seedbank density	Seedbank density	0.0	1/m2
17978	Dactylis glomerata	2284308	2807	Seedbank number of layers	Seedbank number of layers	3.0	1/plant
17981	Dactylis glomerata	2284308	2809	Seedbank duration	Seedbank duration (month)	16.0	month
17990	Dactylis glomerata	2284309	159	Seedbank type	Seedbank type	transient	
17998	Dactylis glomerata	2284309	1111	Seedbank density	Seedbank density	0.0	1/m2
17994	Dactylis glomerata	2284309	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18006	Dactylis glomerata	2284310	159	Seedbank type	Seedbank type	transient	
18014	Dactylis glomerata	2284310	1111	Seedbank density	Seedbank density	0.0	1/m2
18022	Dactylis glomerata	2284311	159	Seedbank type	Seedbank type	transient	
18030	Dactylis glomerata	2284311	1111	Seedbank density	Seedbank density	0.0	1/m2
18038	Dactylis glomerata	2284312	159	Seedbank type	Seedbank type	transient	
18045	Dactylis glomerata	2284312	1111	Seedbank density	Seedbank density	0.0	1/m2
18042	Dactylis glomerata	2284312	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18053	Dactylis glomerata	2284313	159	Seedbank type	Seedbank type	transient	
18060	Dactylis glomerata	2284313	1111	Seedbank density	Seedbank density	0.0	1/m2
18068	Dactylis glomerata	2284314	159	Seedbank type	Seedbank type	transient	
18075	Dactylis glomerata	2284314	1111	Seedbank density	Seedbank density	0.0	1/m2
18083	Dactylis glomerata	2284315	159	Seedbank type	Seedbank type	transient	
18090	Dactylis glomerata	2284315	1111	Seedbank density	Seedbank density	0.0	1/m2
18098	Dactylis glomerata	2284316	159	Seedbank type	Seedbank type	transient	
18105	Dactylis glomerata	2284316	1111	Seedbank density	Seedbank density	0.0	1/m2
18113	Dactylis glomerata	2284317	159	Seedbank type	Seedbank type	transient	
18120	Dactylis glomerata	2284317	1111	Seedbank density	Seedbank density	0.0	1/m2
18128	Dactylis glomerata	2284318	159	Seedbank type	Seedbank type	transient	
18135	Dactylis glomerata	2284318	1111	Seedbank density	Seedbank density	0.0	1/m2
18143	Dactylis glomerata	2284319	159	Seedbank type	Seedbank type	transient	
18150	Dactylis glomerata	2284319	1111	Seedbank density	Seedbank density	0.0	1/m2
18158	Dactylis glomerata	2284320	159	Seedbank type	Seedbank type	transient	
18165	Dactylis glomerata	2284320	1111	Seedbank density	Seedbank density	0.0	1/m2
