index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
9648	Dactylis glomerata	1324693	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.233870967741935	g/g
9780	Dactylis glomerata	1324835	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.231206569804169	g/g
9845	Dactylis glomerata	1324841	55	Leaf dry mass (single leaf)	Leaf dry mass	45.7	mg
9885	Trifolium pratense	1324895	163	Leaf fresh mass	Leaf fresh mass	0.0948	g
9918	Trifolium pratense	1324898	163	Leaf fresh mass	Leaf fresh mass	0.1881	g
9921	Trifolium pratense	1324898	3106	Plant height vegetative	Plant height vegetative	0.19	m
9995	Trifolium pratense	1333992	42	Plant growth form	Plant growth form	Forb	
10009	Achillea millefolium	1334764	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass per plant	0.4021	g
116215	Dactylis glomerata	1338890	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.407894734941231	g m-2
10328	Achillea millefolium	1397450	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	18.45	mg/g
10354	Trifolium pratense	1418351	55	Leaf dry mass (single leaf)	Leaf dry mass	25.2825	mg
10437	Trifolium pratense	1419189	55	Leaf dry mass (single leaf)	Leaf dry mass	23.2	mg
10470	Trifolium pratense	1434524	55	Leaf dry mass (single leaf)	Leaf dry mass	48.3	mg
10600	Dactylis glomerata	1489469	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.0	mg/g
10642	Trifolium pratense	1580758	1111	Seedbank density	Seedbank density	14101.0	1/m2
10646	Trifolium pratense	1580760	1111	Seedbank density	Seedbank density	372.5	1/m2
10648	Trifolium pratense	1580777	3106	Plant height vegetative	Plant height (unspecified if vegetative or reproductive)	0.05	m
11230	Dactylis glomerata	1664294	55	Leaf dry mass (single leaf)	Leaf dry mass	87.0	mg
11240	Dactylis glomerata	1664295	55	Leaf dry mass (single leaf)	Leaf dry mass	111.0	mg
