leaves_opposite,sessile,erect,petals_purple,floral_tube_cylindrical,rounded_at_the_base,alternate_distally,inflorescence_raceme,stamens_12,base_attenuate,inflorescence_spikelike,with_flowers_in_whorled_clusters,becoming_alternate_distally,calyx_with_alternate_long_and_small_teeth,stamens_6,subsessile,leaves_alternate,base_obtuse_to_truncate,stamens_5_8,sprawling_or_ascending
1.0,0.9943341471279193,0.9778561354019746,0.7833634719710669,0.8812357897552494,0.9996275258403948,1.0,0.702992125984252,0.7072706106466293,0.9868222078202635,0.8789375480188782,0.8798997265268915,1.0,0.8687118159365657,0.8641556035813522,0.05655075518089217,0.0,0.0,0.8792156862745099,0.0
0.8365045533811277,1.0,0.9027738598965679,0.7171790235081374,0.8812357897552494,1.0,1.0,0.5728083989501312,0.7072706106466293,0.9868222078202635,0.7533750411590385,0.8798997265268915,0.9990567150100224,0.8718315351618354,0.8479468971904909,0.0,0.019237749546279492,0.0,0.0,0.0
0.8060065878705677,0.8845179418674283,1.0,0.7082579867389994,0.798849806071954,0.8998044510662073,0.8998602701443875,0.6196325459317585,0.6425018520478357,0.8559084035428818,0.6663373943584678,0.8001367365542388,0.8954132767362339,0.7891589756921877,0.765050941648657,0.0,0.008348457350272231,0.0,0.38313725490196077,0.0
0.5036233288122457,0.548067621723709,0.5524212505876822,1.0,0.9027016182961081,0.6223112021603501,0.6225430833721471,0.9454068241469816,1.0,0.5632966083387341,0.8325101525628361,0.8642889699179581,0.614903902841646,0.9859612634862862,0.9129360913862303,0.5862311204776958,0.6058076225045372,0.6213700670141474,0.4811764705882353,0.62056151940545
0.5106762255376865,0.6070293426689392,0.5616361071932299,0.8136829415310428,1.0,0.6223112021603501,0.6225430833721471,0.6486089238845144,0.8027304476664198,0.5893281486282135,0.8325101525628361,1.0,0.614903902841646,0.9859612634862862,0.9536894103118246,0.0,0.0,0.0,0.0,0.0
0.41600465026157724,0.49467962596158277,0.4543018335684062,0.402833031946956,0.4469038384378762,1.0,1.0,0.0,0.7072706106466293,0.0,0.7335089452310394,0.7615086599817684,0.0,0.8687118159365657,0.0,0.0,0.0014519056261343012,0.0,0.0,0.0
0.41600465026157724,0.4944953705836289,0.4541607898448519,0.402833031946956,0.4469038384378762,0.9996275258403948,1.0,0.0,0.7072706106466293,0.0,0.7335089452310394,0.7615086599817684,0.0,0.8687118159365657,0.0,0.0,0.0,0.0,0.0,0.0
0.25948459600852547,0.25132433552904326,0.2774800188058298,0.5427968655816757,0.41313360973652535,0.0,0.0,1.0,0.19726955233358026,0.5972132209980557,0.0,0.0,0.6152576347128876,0.0,0.9932077801790676,0.5862311204776958,0.6058076225045372,0.6213700670141474,0.4811764705882353,0.62056151940545
0.258980817670994,0.30784467271638494,0.2854254818993888,0.5695599758890898,0.5072221479202889,0.6223112021603501,0.6225430833721471,0.19569553805774278,1.0,0.0,0.8325101525628361,0.8642889699179581,0.0,0.9859612634862862,0.0,0.5862311204776958,0.6058076225045372,0.6213700670141474,0.0,0.62056151940545
0.3540399147452044,0.42083928324657977,0.37254348848142926,0.3143459915611814,0.36485221345459407,0.0,0.0,0.5804724409448819,0.0,1.0,0.019866095927999122,0.0,0.9990567150100224,0.0,0.8535041679530719,0.0,0.0,0.0,0.0,0.0
0.3103274559193955,0.31618222856879635,0.2854254818993888,0.4572031344183243,0.5072221479202889,0.6223112021603501,0.6225430833721471,0.0,0.8027304476664198,0.019550658889608986,1.0,0.8642889699179581,0.0,0.9859612634862862,0.0,0.0,0.0,0.0,0.5188235294117647,0.0
0.29924433249370275,0.3557050071398959,0.3301363422661025,0.4572031344183243,0.5868663902634746,0.6223112021603501,0.6225430833721471,0.0,0.8027304476664198,0.0,0.8325101525628361,1.0,0.0,0.9859612634862862,0.0,0.0,0.0,0.0,0.0,0.0
0.32865723696957955,0.3902989543507301,0.35702867889045603,0.3143459915611814,0.34873612411394944,0.0,0.0,0.5478215223097113,0.0,0.9152084683516958,0.0,0.0,1.0,0.0,0.8054955233096635,0.0,0.0,0.0,0.0,0.0
0.258980817670994,0.30895020498410797,0.2854254818993888,0.4572031344183243,0.5072221479202889,0.6223112021603501,0.6225430833721471,0.0,0.8027304476664198,0.0,0.8325101525628361,0.8642889699179581,0.0,1.0,0.0,0.0,0.008711433756805808,0.0,0.0,0.0
0.21693470257701997,0.25302869777511633,0.23300423131170664,0.3564798071127185,0.41313360973652535,0.0,0.0,0.6754855643044619,0.0,0.5972132209980557,0.0,0.0,0.6152576347128876,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.006239100949428406,0.0,0.0,0.10060277275467149,0.0,0.0,0.0,0.17522309711286088,0.17663244787808233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9749546279491833,1.0,0.0,0.985962014863749
0.0,0.0024413837578884335,0.001081335213916314,0.10060277275467149,0.0,0.0003724741596051774,0.0,0.17522309711286088,0.17663244787808233,0.0,0.0,0.0,0.0,0.0031197192252697256,0.0,0.9434492448191079,1.0,1.0,0.0,0.985962014863749
0.0,0.0,0.0,0.10060277275467149,0.0,0.0,0.0,0.17522309711286088,0.17663244787808233,0.0,0.0,0.0,0.0,0.0,0.0,0.9434492448191079,0.9749546279491833,1.0,0.0,0.985962014863749
0.0868823871342763,0.0,0.045933239304184297,0.07396021699819168,0.0,0.0,0.0,0.12881889763779528,0.0,0.0,0.14520908791570628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.09059674502712477,0.0,0.0,0.0,0.15779527559055118,0.1590644512646841,0.0,0.0,0.0,0.0,0.0,0.0,0.8387776606954689,0.8667876588021779,0.889054355919583,0.0,1.0
