trait1,trait2,n_both,acc_both,acc_trait1_only,acc_trait2_only,synergy_score,interaction_type
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,stamens_6,139,0.0,0.0,0.14371351948256822,-0.07185675974128411,Antagonistic
with_flowers_in_whorled_clusters,petals_rose_to_purple,1191,0.4609571788413098,0.3891891891891892,,0.07176798965212061,Synergistic
with_flowers_in_whorled_clusters,stamens_10_14,1191,0.4609571788413098,0.3891891891891892,,0.07176798965212061,Synergistic
with_flowers_in_whorled_clusters,inflorescence_spikelike_to_raceme,1191,0.4609571788413098,0.3891891891891892,,0.07176798965212061,Synergistic
creeping_to_weakly_erect,stamens_6,127,0.0,0.0,0.14344197764131633,-0.07172098882065817,Antagonistic
inflorescence_raceme,usually_with_a_darker_midrib,270,0.037037037037037035,0.10869800108049703,,-0.07166096404346,Antagonistic
flowers_solitary,purple,28,0.07142857142857142,0.0,,0.07142857142857142,Synergistic
erect,stamens_6,4956,0.14548022598870056,0.3085693269584406,0.12483574244415244,-0.07122230871259597,Antagonistic
leaves_opposite,inflorescence_spikelike,8008,0.33004495504495507,0.208686857335506,0.30915684496826834,0.07112310389306792,Synergistic
floral_tube_cylindrical,inflorescence_raceme,6178,0.14664940110067984,0.3989288969917958,0.03286525246489393,-0.06924767362766501,Antagonistic
erect,inflorescence_raceme,5902,0.1301253812267028,0.3245054659031754,0.06845155948109302,-0.06635313146543143,Antagonistic
sessile,base_attenuate,9136,0.1421847635726795,0.3933826453511493,0.01639344262295082,-0.06270328041437057,Antagonistic
floral_tube_cylindrical,stamens_6,6178,0.14664940110067984,0.3989288969917958,0.016666666666666666,-0.06114838072855139,Antagonistic
prostrate,petals_pink,45,0.06666666666666667,0.013793103448275862,0.0,0.059770114942528735,Synergistic
prostrate,minute,45,0.06666666666666667,0.013793103448275862,0.0,0.059770114942528735,Synergistic
petals_purple,becoming_alternate_distally,5215,0.15282837967401725,0.2777142857142857,0.14696876913655849,-0.059513147751404843,Antagonistic
needle_like_leaves,minute,48,0.0625,0.006896551724137931,0.0,0.059051724137931035,Synergistic
petals_pink,needle_like_leaves,48,0.0625,0.0,0.006896551724137931,0.059051724137931035,Synergistic
petals_pink,minute,51,0.058823529411764705,0.0,,0.058823529411764705,Synergistic
leaves_opposite,floral_tube_cylindrical,13178,0.29602367582334194,0.19450384097568701,0.2849099099099099,0.056316800380543486,Synergistic
inflorescence_raceme,becoming_alternate_distally,5218,0.15293215791490994,0.050615277455305314,0.14679742568188783,0.05422580634631337,Synergistic
inflorescence_raceme,a_discernible_gap_between_the_stem_and_the_base_of_the_blade,139,0.0,0.10824632431280631,0.0,-0.05412316215640316,Antagonistic
