n_images,accuracy,trait_diversity,trait_density,hand_frac,background_frac
4228,0.217,1.014,3.329,0.089,0.304
13417,0.22,1.633,3.344,0.091,0.303
10508,0.226,1.925,3.376,0.094,0.302
5962,0.23,2.048,3.368,0.093,0.307
157,0.191,2.08,3.161,0.101,0.326
