trait,n_samples,tp_change,tn_change,fp_change,fn_change,asymmetry_score,pattern_type,p_value
stamens 4-6,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
flower tube narrowly cylindrical without red dots,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
petals lavender,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
sometimes creeping,128,0.0,0.0,-0.16695454545454547,-0.02165151515151515,0.1886060606060606,aligned,
needle-like leaves,500,0.0,0.0,-0.16742638344425198,-0.02095985656547239,0.18838624000972437,aligned,
prostrate to weakly erect,584,0.0,0.0,-0.16753329684364168,-0.0169967609150415,0.1845300577586832,aligned,
petals pale purple or whitish,437,0.0,0.0,-0.16734628790122333,-0.01632124865073599,0.18366753655195933,aligned,
usually with a darker midrib,444,0.0,0.0,-0.16735518362139667,-0.01464145260658125,0.18199663622797793,aligned,
purple,52,0.0,0.0,-0.16685847542324117,-0.014424678565022005,0.18128315398826317,aligned,
base narrowly attenuate,15,0.0,0.0,-0.16681174449145808,0.013787691849653956,0.18059943634111203,aligned,
petals pink,113,0.0,0.0,-0.16693557550278376,-0.008640141791342433,0.1755757172941262,aligned,
minute,91,0.0,0.0,-0.16690776070343918,0.002065937727911263,0.16897369843135046,aligned,
sessile,51059,0.0,0.0,0.09099619393300373,0.012799185488581853,0.10379537942158559,aligned,
floral tube cylindrical,24221,0.0,0.0,0.07553289992473786,0.01406305776245284,0.0895959576871907,aligned,
erect,44067,0.0,0.0,0.06183004842074952,0.008570453894148539,0.07040050231489806,aligned,
leaves opposite,60780,0.0,0.0,0.03745604943659764,0.003806159883392883,0.04126220931999052,aligned,
petals purple,26708,0.0,0.0,0.007100073429155779,0.013171071748294974,0.020271145177450753,aligned,
