FN,FP,TN,TP
1.0931853896367745,0.7513699415136779,1.516741332692088,1.1749258845689803
0.9189495756056135,0.7875161407260365,1.053661657157807,0.9222282222783142
0.8522425039260486,1.141901264191924,0.6264507438899902,0.9161095041557714
0.7833089857273259,0.1313749494692604,1.4885928853454442,0.8366588490873118
0.6598461237358931,0.5929873200094268,0.7851290501179288,0.7182702463914743
0.6299536680529361,0.45770620495420433,0.8857321869956173,0.7134847238969216
0.6366148323289686,0.2699859098796925,1.0387120182947918,0.6720830958454013
0.5897457691410238,0.5464585104825892,0.6844675986656898,0.641180340007334
0.5264937577446566,0.44681269641755883,0.6623482415193729,0.5826671801923164
0.42342381134055695,0.17445667856285257,0.6873681302094885,0.4384009974317846
0.39991228878832624,0.3636636234271811,0.4675186764219296,0.4312700110607747
0.39430023908049683,0.3658046775983139,0.4536299545969055,0.4251343931147212
0.3509088644948176,0.20652976042637308,0.5407724426010179,0.3963933385326037
0.3688032299783679,0.12150192554383625,0.6334821986445563,0.3861808942100418
0.3370935436268966,0.28720436653809295,0.42352228565070393,0.37363310856184223
0.29061871882984297,0.3355609028279875,0.3051575673704209,0.3500997513685382
0.2873246802634845,0.26091497578734774,0.33597632530821253,0.3095666208320275
0.25246686903872434,0.3909899940385028,0.1477220976568576,0.2862452226566738
0.2752923041270237,0.06348376641856099,0.4978498603593371,0.28604132265083365
0.2545864243909886,0.5614076281897519,0.023850967072478056,0.2829702367263413
0.2333154655854621,0.19502896072495218,0.29960271528405963,0.26131621042352365
0.23325720226507823,0.19477969678028573,0.2997173956571635,0.2612398901723432
0.21992301119533367,0.2178866818820474,0.25349426959951366,0.25145794028621155
0.24184813969794525,0.022051386448844915,0.46582448954184175,0.24602773629276223
0.2341627284032061,0.20058214734649585,0.25760784876066695,0.22402726770392975
0.20043574048400273,0.18373330424810738,0.2366458624831949,0.21994342624733806
0.16853799171537576,0.15506139962874427,0.19832962350981662,0.18485303142316678
0.15275710130195325,0.10370000763104412,0.21497622697836885,0.16591913330747293
0.15269203916181356,0.1031012353122185,0.2154544741509211,0.1658636703013392
0.15269203916181356,0.1031012353122185,0.2154544741509211,0.1658636703013392
0.1688074986637805,0.1492342286873315,0.18255978798857214,0.16298651801211506
0.1688074986637805,0.1492342286873315,0.18255978798857214,0.16298651801211506
0.1688074986637805,0.1492342286873315,0.18255978798857214,0.16298651801211506
0.11964998848558418,0.12908857176279168,0.11909994783255336,0.1285385311097397
0.08030965064341175,0.2582710160727889,0.07292680753089642,0.1050345578985332
0.08721433040039987,0.006590665512322221,0.18153992794305807,0.10091626305498132
0.07731105121131215,0.0661750050966484,0.09750620704094881,0.0863701609262801
0.07731105121131215,0.0661750050966484,0.09750620704094881,0.0863701609262801
0.07333310824937199,0.06276306468874301,0.09215090879627831,0.08158086523564498
0.07333310824937199,0.06276306468874301,0.09215090879627831,0.08158086523564498
0.07333310824937199,0.06276306468874301,0.09215090879627831,0.08158086523564498
0.07333310824937199,0.06276306468874301,0.09215090879627831,0.08158086523564498
0.03858150876297151,0.26779629110722053,0.15249657802703925,0.07671820431723335
0.06539070600442938,0.024374495152524697,0.11193883315410363,0.07092262230220704
0.06388960646294928,0.05998175103305353,0.07461275200776876,0.07070489657787611
0.06453108744768644,0.011600477913778865,0.1235392023889571,0.07060859285505137
0.06453108744768644,0.011600477913778865,0.1235392023889571,0.07060859285505137
0.061825429133267225,0.04826266041570704,0.1789022660355921,0.06881417648660822
0.060090220098593314,0.04821184564687123,0.07807972748050337,0.06620135302877872
0.058762381044566644,0.07162571145036063,0.19447655640609604,0.06408846391117727
0.05482256380784537,0.03395272235855501,0.14938622986547118,0.06061094369906552
0.05482256380784537,0.03395272235855501,0.14938622986547118,0.06061094369906552
0.04978913554952989,0.12808555951333828,0.023585808773435905,0.054710615190370945
0.048717235764937986,0.051240961777613864,0.15466368879703168,0.05470549125449044
0.048048274516718795,0.1218073039659913,0.022239446262530053,0.051519583186742594
0.04400919736803134,0.03162071861540407,0.12518760746448032,0.049557691481058055
0.04512619648772821,0.04102675272155895,0.1337055335938996,0.04755258438460435
