feature,importance,TP,TN,FP,FN
alternate distally,0.16293178379614826,,,,
rounded at the base,0.15443851174619594,,,,
with flowers in whorled clusters,0.06678287110461456,,,,
base attenuate,0.06662948034258251,,,,
becoming alternate distally,0.05546419724510294,,,,
sessile,0.05375923646573022,,,,
calyx with alternate long and small teeth,0.04885925023339346,,,,
getting narrower at the base,0.047704030455897876,,,,
