trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with_x,n_without,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with_y,bias_severity,n_with_combined
creeping,0.014285714285714285,0.2252394534411365,-0.2109537391554222,-0.2266109578923383,-0.18109311211460988,70,127269,-0.3035685943047516,,-0.08205182111718458,0.0,0.25026492812384815,,0.3933129378541301,,0.3058912971553672,70,0.3035685943047516,70
sessile base narrowly attenuate,0.02110947471772214,0.23186630430373587,-0.21075682958601372,-0.21395948086390498,-0.20633289613094355,4074,123265,-0.3063800803060072,,-0.0796490810861118,0.0,0.2620963364174819,,0.3933129378541301,,0.31456948848253197,4074,0.3063800803060072,4074
sometimes creeping,0.017543859649122806,0.2253094910591472,-0.20776563141002438,-0.224353507565337,-0.18048855288151602,114,127225,-0.30041251684920695,,-0.07883866980186631,0.0,0.25038894587025917,,0.3933129378541301,,0.30598391707859784,114,0.30041251684920695,114
subsessile,0.027635280489822937,0.2349624060150376,-0.20732712552521465,-0.21155203937035424,-0.20320996814850822,6043,121296,-0.3045026300760655,,-0.07490048516001432,0.0,0.2682047673715266,,0.3933129378541301,,0.31892844036697243,6043,0.3045026300760655,6043
leaves alternate,0.02750256235052955,0.23464625262378072,-0.20714369027325116,-0.21279040907742883,-0.20242863735484742,5854,121485,-0.3041680142638673,,-0.07483123391781174,0.0,0.26760025618287514,,0.3933129378541301,,0.31850065599964816,5854,0.3041680142638673,5854
floral tube campanulate,0.021265560165975105,0.2282574893749352,-0.2069919292089601,-0.21329224220307197,-0.19938613808751182,1928,125411,-0.3009789000488386,,-0.0770528095076746,0.0,0.2556177792418645,,0.3933129378541301,,0.3098567445575054,1928,0.3009789000488386,1928
petals white to pink,0.02127659574468085,0.22825566931394126,-0.2069790735692604,-0.2140279981757191,-0.19909130352233456,1927,125412,-0.3009652949834792,,-0.07704037280357982,0.0,0.2556147719384934,,0.3933129378541301,,0.3098545350827154,1927,0.3009652949834792,1927
base obtuse to truncate,0.027821522309711286,0.23439452739590871,-0.20657300508619741,-0.20953213967128673,-0.20342111750662326,5715,121624,-0.3034864432234072,,-0.0743281244371968,0.0,0.2671494792755352,,0.3933129378541301,,0.3181811525225159,5715,0.3034864432234072,5715
sprawling or ascending,0.0271394178157146,0.23249165105481795,-0.20535223323910334,-0.21064211833707341,-0.20098829166165494,4569,122770,-0.30136103017646587,,-0.07379499554743307,0.0,0.26354924793789425,,0.3933129378541301,,0.3156136286052542,4569,0.30136103017646587,4569
prostrate,0.021520803443328552,0.2262440580534104,-0.20472325461008187,-0.2134305096799376,-0.1952292204664095,697,126642,-0.297796642585635,,-0.07546663370741163,0.0,0.2520445924155772,,0.3933129378541301,,0.30721699046972656,697,0.297796642585635,697
leaves opposite but sometimes alternate,0.02158273381294964,0.22534591194968553,-0.2037631781367359,-0.22461104559748427,-0.17547223966110131,139,127200,-0.29642827247635856,,-0.07481938405972785,0.0,0.2504582185385422,,0.3933129378541301,,0.30603563631241637,139,0.29642827247635856,139
obovate,0.02158273381294964,0.22534591194968553,-0.2037631781367359,-0.2225642745237772,-0.16982005480521245,139,127200,-0.29642827247635856,,-0.07481938405972785,0.0,0.2504582185385422,,0.3933129378541301,,0.30603563631241637,139,0.29642827247635856,139
sessile or subsessile,0.02214022140221402,0.22555639500110178,-0.20341617359888775,-0.21856292522340653,-0.18561759708634956,271,127068,-0.2961775297231677,,-0.0743972923460979,0.0,0.250831216809051,,0.3933129378541301,,0.3063139270130621,271,0.2961775297231677,271
petals pale purple to purple sometimes with red midribs,0.022727272727272728,0.22533351152059242,-0.20260623879331968,-0.2262434457223266,-0.18608431949737853,132,127207,-0.2952662339193741,,-0.07366546828931844,0.0,0.250438010051178,,0.3933129378541301,,0.3060205497299239,132,0.2952662339193741,132
floral tube obconic without red dots,0.022727272727272728,0.22533351152059242,-0.20260623879331968,-0.2251532934508321,-0.17082628505054157,132,127207,-0.2952662339193741,,-0.07366546828931844,0.0,0.250438010051178,,0.3933129378541301,,0.3060205497299239,132,0.2952662339193741,132
red-dotted,0.029463968761093362,0.22954979842919324,-0.20008582966809987,-0.20690657446100869,-0.19278750881959764,2817,124522,-0.2947438017533539,,-0.06950977584420968,0.0,0.2581906335040582,,0.3933129378541301,,0.3117395546372819,2817,0.2947438017533539,2817
solitary in leaf axils,0.029463968761093362,0.22954979842919324,-0.20008582966809987,-0.20649602389797728,-0.19394448039876017,2817,124522,-0.2947438017533539,,-0.06950977584420968,0.0,0.2581906335040582,,0.3933129378541301,,0.3117395546372819,2817,0.2947438017533539,2817
floral tube obconic,0.029734513274336283,0.22955651573317057,-0.19982200245883427,-0.20692813936692053,-0.19305922460153394,2825,124514,-0.2944860563001694,,-0.06923622568600903,0.0,0.25821211256892945,,0.3933129378541301,,0.3117552103884923,2825,0.2944860563001694,2825
needle-like leaves,0.02620967741935484,0.22590131106958997,-0.19969163365023512,-0.21267868164683137,-0.18560558925651804,496,126843,-0.2926175341729286,,-0.07053343031506598,0.0,0.25146408647947965,,0.3933129378541301,,0.3067853688498549,496,0.2926175341729286,496
stamens 5-8,0.03350172826375964,0.23095534803929502,-0.19745361977553538,-0.2048715563415595,-0.19185628568881974,3761,123578,-0.2928346746558539,,-0.06620999452184698,0.0,0.26098498498498496,,0.3933129378541301,,0.3137676816544035,3761,0.2928346746558539,3761
alternate distally,0.38378217653555347,0.18913841440504062,0.19464376213051285,0.18845273335645688,0.20012628409617303,23542,103797,0.36905351947295206,0.019045427094318113,0.9044195214035867,1.0,0.16361162456356543,0.3823654632152589,0.40141089030957705,0.5532045951522991,0.23247033933082248,23542,0.9044195214035867,23542
rounded at the base,0.3836843893324274,0.1891493482093823,0.19453504112304507,0.18825007601008337,0.20173023202700882,23548,103791,0.36888150272433146,0.019045427094318113,0.8044115605652572,0.9993323689774118,0.16362422655267145,0.3823654632152589,0.40141089030957705,0.5531023864511163,0.23248305989001472,23548,0.8044115605652572,23548
often with a darker midrib,0.031446540880503145,0.2253656235257116,-0.19391908264520846,-0.21795902726883404,-0.16844930079785894,159,127180,-0.286598749259456,,-0.06495457673303054,0.0,0.2505101981990292,,0.3933129378541301,,0.3060744372129716,159,0.286598749259456,159
petals pinkish,0.031446540880503145,0.2253656235257116,-0.19391908264520846,-0.22089833925274038,-0.17041381328498903,159,127180,-0.286598749259456,,-0.06495457673303054,0.0,0.2505101981990292,,0.3933129378541301,,0.3060744372129716,159,0.286598749259456,159
with flowers in whorled clusters,0.3982944011865035,0.20461292532541675,0.19368147586108675,0.1853186943248012,0.20063513713374853,13485,113854,0.3196481590930169,-0.005167988980381177,0.9040430668479618,1.0,0.20088792955431822,0.3972216031498403,0.39205361416945905,0.5685878349638451,0.2656546489563567,13485,0.9040430668479618,13485
distally alternate,0.041677127793120765,0.23104672654755343,-0.18936959875443266,-0.1949370447008333,-0.18297121227716578,3983,123356,-0.2849223079862495,,-0.057772332678141074,0.0,0.2615567968411422,,0.3933129378541301,,0.31418056670209454,3983,0.2849223079862495,3983
flower tube narrowly cylindrical without red dots,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.2042246444851924,-0.1689540149953904,317,127022,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317,0.28053090184779833,317
stamens 4-6,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.20356708122843373,-0.1699798215485859,317,127022,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317,0.28053090184779833,317
petals lavender,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.20641147287285289,-0.1645050967846947,317,127022,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317,0.28053090184779833,317
calyx with teeth of the same length,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.20538310770776338,-0.16505533555453047,317,127022,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317,0.28053090184779833,317
linear,0.04350104821802935,0.2307343571642528,-0.18723330894622345,-0.19419259044534792,-0.18133392865062128,3816,123523,-0.2826568333101071,,-0.05570518475698603,0.0,0.26103201778098156,,0.3933129378541301,,0.313801669603397,3816,0.2826568333101071,3816
petals pale purple or whitish,0.038929440389294405,0.22572639606706163,-0.18679695567776722,-0.20197732174080799,-0.16790311922340476,411,126928,-0.2796606264202354,,-0.05765710947330272,0.0,0.25120823216556826,,0.3933129378541301,,0.3065948874981479,411,0.2796606264202354,411
usually with a darker midrib,0.0405727923627685,0.2257327450362433,-0.1851599526734748,-0.2015340489414338,-0.16833793645594128,419,126920,-0.2780294767831502,,-0.05601058631159917,0.0,0.2512285651515327,,0.3933129378541301,,0.30661003076402027,419,0.2780294767831502,419
prostrate to weakly erect,0.04275092936802974,0.2258972721035323,-0.18314634273550257,-0.19502398549505415,-0.16578818846461668,538,126801,-0.27610302288786726,,-0.053909215964558305,0.0,0.2515572536760449,,0.3933129378541301,,0.3068546934913248,538,0.27610302288786726,538
calyx with alternate long and small teeth,0.3834148810528092,0.20887561155128373,0.17453926950152546,0.1639926733864141,0.18231661586274167,11854,115485,0.31739267990888753,0.007799930578408443,0.05361380678746015,0.9659965782720273,0.20934447566568137,0.3871603668466615,0.39496029742507,0.5527748883313957,0.2736458821939372,11854,0.31739267990888753,11854
petals reddish,0.05714285714285714,0.22521588132223871,-0.16807302417938158,-0.21062451522815004,-0.11421340119858615,70,127269,-0.26068787932871096,,-0.039153027790779775,0.0,0.250256280307306,,0.3933129378541301,,0.305884837392651,70,0.26068787932871096,70
petals minute,0.05714285714285714,0.22521588132223871,-0.16807302417938158,-0.21094411387353895,-0.10035827095140443,70,127269,-0.26068787932871096,,-0.039153027790779775,0.0,0.250256280307306,,0.3933129378541301,,0.305884837392651,70,0.26068787932871096,70
petals pink,0.05737704918032787,0.22528435665044766,-0.16790730747011978,-0.20797931010354453,-0.13050534893457508,122,127217,-0.2605600189788018,,-0.038946725411202636,0.0,0.2503976028581307,,0.3933129378541301,,0.30599038102682186,122,0.2605600189788018,122
minute,0.0707070707070707,0.22524363407733416,-0.15453656337026345,-0.183701390278135,-0.09748427373388079,99,127240,-0.24717252690374347,,-0.025585933362430258,0.0,0.250331247911698,,0.3933129378541301,,0.30594083106861736,99,0.24717252690374347,99
flowers solitary,0.0784313725490196,0.2251822638426246,-0.146750891293605,-0.2070938098072489,-0.06916032856169303,51,127288,-0.23935192202705985,,-0.0178391175477228,0.0,0.2502015246781363,,0.3933129378541301,,0.3058439318970431,51,0.23935192202705985,51
inflorescence raceme,0.11309192200557103,0.23936306747271616,-0.12627114546714513,-0.13201443553145345,-0.12049972740946926,14360,112979,-0.2306002685785198,,0.021020842300697284,0.0,0.2930181121795304,,0.3933129378541301,,0.33583739083391295,14360,0.2306002685785198,14360
purple,0.1,0.22516280567797076,-0.12516280567797075,-0.2255090377772017,-0.05139847917108541,40,127299,-0.21775583468841073,,0.003744206056232491,0.0,0.2501698350009787,,0.3933129378541301,,0.3058202547681047,40,0.21775583468841073,40
