feature,n_with,n_without,TP_share,TN_share,FP_share,FN_share,max_driver
has_leaves opposite,56147,71192,0.4914162102453169,0.4697406340057637,0.39370453359526075,0.4940323446917706,0.4940323446917706
has_sessile,47453,79886,0.4914162102453169,0.43256484149855906,0.26423462966941896,0.4940323446917706,0.4940323446917706
has_alternate distally,23542,103797,0.4133566530123809,0.0077809798270893375,0.0,0.4328638777824193,0.4328638777824193
has_rounded at the base,23548,103791,0.4133566530123809,0.0077809798270893375,9.208385769974523e-05,0.4328638777824193,0.4328638777824193
has_base attenuate,20180,107159,0.0,0.4244956772334294,0.26449553393290154,0.0,0.4244956772334294
has_becoming alternate distally,18402,108937,0.0,0.414985590778098,0.23822093986924092,0.0,0.414985590778098
has_erect,40747,86592,0.393473558245501,0.35706051873198846,0.25155775192608737,0.39771438801694814,0.39771438801694814
has_floral tube cylindrical,22826,104513,0.24609932342246973,0.21268011527377523,0.12107492556554836,0.24210777585486662,0.24609932342246973
