FN,FP,TN,TP
1.1325831196119078,1.4353382532613117,0.7377977007804267,1.0405528344297788
0.8660445788307359,0.9879142693454754,0.7438588241205434,0.8657285146353414
0.8579765150342433,1.5078756793042993,0.14977249535305037,0.7996716596229994
0.860801874173818,0.6275758137124277,1.0236448768542485,0.7904188163927248
0.6805815282487995,0.9799751685711242,0.34232469993908,0.6417183402613686
0.6975194322976382,0.7508067017208461,0.5791494349313168,0.6324367043545805
0.70809503186766,0.9121457164461171,0.4109187019294652,0.6149693865078681
0.6211810357365454,0.6591598027346413,0.5262586986800879,0.5642374656780509
0.5769730056881001,0.6556038427858667,0.4399585314543389,0.5185893685520359
0.4297990340537442,0.6618115634380913,0.18153720521197175,0.41354973459633704
0.43044951902565026,0.5139788713253823,0.2912593076529963,0.3747886599527561
0.4125517686043224,0.4569518188269336,0.329178101871561,0.3735781520941607
0.40917406661492167,0.4258804762336391,0.35415832946640446,0.37086473908508666
0.38419992657871116,0.6141126074387125,0.13538534545526032,0.3652980263152429
0.368346430087435,0.39720383988456887,0.2973633499158654,0.3262207597130237
0.28363453853675413,0.48011433300099976,0.07583323531808399,0.2723130297822736
0.2954571188800233,0.3400129669873011,0.2265442904376513,0.271100138544922
0.2555804650569328,0.459873705089369,0.0464708690595037,0.2507641090919007
0.27435137928006265,0.012395619567805573,0.5264459911924672,0.23969899234458303
0.2910046486334829,0.17597171983005866,0.3397880919361944,0.2247551631327193
0.2530616264491914,0.2956339997382079,0.1788131537936014,0.2213855270826313
0.2530291825531886,0.29567025763948496,0.17871972303192382,0.22136079811820727
0.25594025819949184,0.11570538585345798,0.35952278555283107,0.219287913206852
0.23595904150806074,0.24324938230935952,0.19814025176797911,0.2054305925693101
0.21330131940907382,0.24278147447659484,0.15938367463214856,0.18886382969969684
0.17855777743117907,0.1981767331023605,0.1409426260601305,0.16056158173131121
0.14945916036275747,0.16648542136527597,0.13942475198220944,0.15645101298472786
0.14945916036275747,0.16648542136527597,0.13942475198220944,0.15645101298472786
0.14945916036275747,0.16648542136527597,0.13942475198220944,0.15645101298472786
0.1667175893501501,0.21358502771089408,0.10472427619378073,0.1515917145545322
0.16670460208889565,0.21401264919538102,0.10425592598656921,0.15156397309304598
0.16670460208889565,0.21401264919538102,0.10425592598656921,0.15156397309304598
0.12407863371903947,0.12273175319733888,0.11668855777642723,0.11534167725471275
0.10980353468357672,0.1224937957852133,0.08784106556247913,0.10053132666421852
0.10606965732992195,0.1861425308954955,0.009588956287034994,0.0896618298526168
0.0887132853091911,0.09036318256928033,0.07600539588780758,0.07765529314789284
0.0887132853091911,0.09036318256928033,0.07600539588780758,0.07765529314789284
0.07939580746050473,0.08765663552407993,0.06203582714138837,0.07029665520495167
0.07939580746050473,0.08765663552407993,0.06203582714138837,0.07029665520495167
0.07939580746050473,0.08765663552407993,0.06203582714138837,0.07029665520495167
0.07939580746050473,0.08765663552407993,0.06203582714138837,0.07029665520495167
0.07074431611559051,0.08210951049503237,0.05241356445429194,0.06377875883374334
0.07074431611559051,0.08210951049503237,0.05241356445429194,0.06377875883374334
0.07070968801155976,0.17970226140588516,0.047050610198165366,0.061941963196164254
0.06640594737102974,0.07235947869625718,0.05344797019716271,0.0594015015223958
