trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with,n_without
petals lavender,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.20641147287285289,-0.1645050967846947,317,127022
calyx with teeth of the same length,0.03785488958990536,0.22559084253121506,-0.18773595294130968,-0.20538310770776338,-0.16505533555453047,317,127022
linear,0.04350104821802935,0.2307343571642528,-0.18723330894622345,-0.19419259044534792,-0.18133392865062128,3816,123523
petals pale purple or whitish,0.038929440389294405,0.22572639606706163,-0.18679695567776722,-0.20197732174080799,-0.16790311922340476,411,126928
usually with a darker midrib,0.0405727923627685,0.2257327450362433,-0.1851599526734748,-0.2015340489414338,-0.16833793645594128,419,126920
prostrate to weakly erect,0.04275092936802974,0.2258972721035323,-0.18314634273550257,-0.19502398549505415,-0.16578818846461668,538,126801
calyx with alternate long and small teeth,0.3834148810528092,0.20887561155128373,0.17453926950152546,0.1639926733864141,0.18231661586274167,11854,115485
petals reddish,0.05714285714285714,0.22521588132223871,-0.16807302417938158,-0.21062451522815004,-0.11421340119858615,70,127269
petals minute,0.05714285714285714,0.22521588132223871,-0.16807302417938158,-0.21094411387353895,-0.10035827095140443,70,127269
petals pink,0.05737704918032787,0.22528435665044766,-0.16790730747011978,-0.20797931010354453,-0.13050534893457508,122,127217
minute,0.0707070707070707,0.22524363407733416,-0.15453656337026345,-0.183701390278135,-0.09748427373388079,99,127240
flowers solitary,0.0784313725490196,0.2251822638426246,-0.146750891293605,-0.2070938098072489,-0.06916032856169303,51,127288
inflorescence raceme,0.11309192200557103,0.23936306747271616,-0.12627114546714513,-0.13201443553145345,-0.12049972740946926,14360,112979
purple,0.1,0.22516280567797076,-0.12516280567797075,-0.2255090377772017,-0.05139847917108541,40,127299
inflorescence spikelike,0.3296734840330104,0.21227646291136115,0.11739702112164924,0.10907096532173055,0.12310996248055907,13935,113404
base narrowly attenuate,0.3333333333333333,0.22511584072881488,0.10821749260451843,-0.1150323743204447,0.3326923261516445,9,127330
stamens 12,0.31872070581748,0.2130886015368117,0.10563210428066833,0.09872919134958122,0.113239446599877,14508,112831
sessile,0.28826417718584707,0.18761735473049096,0.10064682245535611,0.09590556060039869,0.10481663288135985,47453,79886
petals lilac to pink,0.125,0.22512977986507607,-0.10012977986507607,-0.22674113138198868,0.151379082862775,8,127331
base attenuate,0.14598612487611495,0.24002650267359718,-0.09404037779748223,-0.09755718457546912,-0.08978934809930329,20180,107159
floral tube cylindrical,0.29891351967055113,0.20900749189096093,0.0899060277795902,0.08473180115254683,0.09574358071331662,22826,104513
stamens 6,0.14929951937825953,0.2314307587614835,-0.08213123938322398,-0.0881413504570435,-0.07369682948242934,9779,117560
becoming alternate distally,0.156504727746984,0.2367147984614961,-0.08021007071451208,-0.08739966561260094,-0.07444215373694085,18402,108937
erect,0.2706211500233146,0.2037139689578714,0.06690718106544322,0.0618680154149528,0.07124729912803925,40747,86592
leaves opposite,0.24822341353945893,0.20690527025508484,0.04131814328437408,0.03737751816512238,0.04561091784813143,56147,71192
petals purple,0.2431544792655904,0.22065897890601271,0.022495500359577675,0.016460993595787548,0.02585731449652057,25272,102067
