trait,n_samples,tp_change,tn_change,fp_change,fn_change,asymmetry_score,pattern_type,p_value
prostrate to weakly erect,538,0.0,0.0,0.447450252010666,-0.26430390927516345,0.7117541612858295,aligned,
becoming alternate distally,18402,0.0,0.0,0.3878557741945051,-0.30764570347999304,0.6955014776744981,aligned,
petals pink,122,0.0,0.0,0.43134694211014435,-0.2634396346400245,0.6947865767501689,aligned,
petals reddish,70,0.0,0.0,0.4314050217593107,-0.26333199757992914,0.6947370193392399,aligned,
petals minute,70,0.0,0.0,0.4314050217593107,-0.26333199757992914,0.6947370193392399,aligned,
minute,99,0.0,0.0,0.41792857845985787,-0.2633920150895945,0.6813205935494524,aligned,
inflorescence spikelike,13935,0.0,0.0,-0.39801496849232365,0.2806179473706745,0.6786329158629982,aligned,
flowers solitary,51,0.0,0.0,0.41004358188501966,-0.26329269059141475,0.6733362724764345,aligned,
stamens 6,9779,0.0,0.0,0.36721119855300954,-0.2850799591697856,0.6522911577227952,aligned,
purple,40,0.0,0.0,0.3884327449547915,-0.2632699392768207,0.6517026842316123,aligned,
stamens 12,14508,0.0,0.0,-0.3648044560921398,0.2591723518114715,0.6239768079036113,aligned,
sessile,47453,0.0,0.0,-0.23729550680146788,0.13664868434611183,0.3739441911475797,aligned,
floral tube cylindrical,22826,0.0,0.0,-0.20234589083339688,0.11243986305380674,0.31478575388720365,aligned,
erect,40747,0.0,0.0,-0.16091861297593751,0.09401143191049427,0.2549300448864318,aligned,
leaves opposite,56147,0.0,0.0,-0.09801790521855314,0.056699761934179055,0.1547176671527322,aligned,
petals purple,25272,0.0,0.0,-0.04711639107523402,0.024620890715656374,0.0717372817908904,aligned,
