sample_size,accuracy,actual_invasive_rate
72,0.0,1.0
37197,0.157,1.0
63,0.0,1.0
6,0.0,1.0
292,0.027,1.0
42,0.0,1.0
7782,0.039,1.0
39,0.154,1.0
995,0.0,1.0
158,0.051,1.0
339,0.009,1.0
114,1.0,1.0
11473,0.029,1.0
1677,0.04,1.0
690,0.022,1.0
7,0.0,1.0
528,0.009,1.0
36,0.0,1.0
8131,0.021,1.0
49,0.0,1.0
47590,0.384,0.0
10,0.0,1.0
6,0.0,1.0
519,0.0,1.0
1349,0.032,1.0
7651,0.454,0.0
421,0.045,1.0
87,0.0,1.0
16,0.0,1.0
