trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
petals pinkish,-0.286598749259456,,-0.06495457673303054,0.0,0.2505101981990292,,0.3933129378541301,,0.3060744372129716,159
petals pinkish to white,-0.3178971356724687,,-0.09637015024856278,0.0,0.25030817617308554,,0.3933129378541301,,0.30592360006195346,84
petals purple,0.03699576524371351,0.007799930578408443,0.028847603541336614,0.2738571601794592,0.24449148328621556,0.3871603668466615,0.39496029742507,0.32079826710699194,0.3020225507831351,25272
petals reddish,-0.26068787932871096,,-0.039153027790779775,0.0,0.250256280307306,,0.3933129378541301,,0.305884837392651,70
petals rose to purple,0.2227981430172919,-0.07166782650663062,,1.0,0.24283307187263958,0.46265328874024525,0.39098546223361463,0.6326219512195121,0.2995942710498774,1794
petals white,-0.31772485941377904,,-0.09627790186313,0.0,0.25010935881201796,,0.3933129378541301,,0.3057750631548578,15
petals white to pink,-0.3009652949834792,,-0.07704037280357982,0.0,0.2556147719384934,,0.3933129378541301,,0.3098545350827154,1927
petiolated,-0.3189699354238451,,-0.09694633028804515,0.0,0.251548516318757,,0.3933129378541301,,0.3068481929752708,512
prostrate,-0.297796642585635,,-0.07546663370741163,0.0,0.2520445924155772,,0.3933129378541301,,0.30721699046972656,697
prostrate and spreading,-0.3061327983874663,,-0.08051691496492573,0.0,0.25959424584209523,,0.3933129378541301,,0.3127604597767334,3252
prostrate to weakly erect,-0.27610302288786726,,-0.053909215964558305,0.0,0.2515572536760449,,0.3933129378541301,,0.3068546934913248,538
purple,-0.21775583468841073,,0.003744206056232491,0.0,0.2501698350009787,,0.3933129378541301,,0.3058202547681047,40
red-dotted,-0.2947438017533539,,-0.06950977584420968,0.0,0.2581906335040582,,0.3933129378541301,,0.3117395546372819,2817
rounded at the base,0.36888150272433146,0.019045427094318113,0.8044115605652572,0.9993323689774118,0.16362422655267145,0.3823654632152589,0.40141089030957705,0.5531023864511163,0.23248305989001472,23548
rounded base,-0.3181046142232567,,-0.09648135018281409,0.0,0.25054775248506655,,0.3933129378541301,,0.30610246620503107,167
sessile,0.15061603529555778,0.0024975147646065787,0.07256680751732408,0.38277048827704885,0.18731670932854164,0.3920467063229786,0.39454422108758525,0.38735306922072266,0.25402882824892525,47453
sessile base narrowly attenuate,-0.3063800803060072,,-0.0796490810861118,0.0,0.2620963364174819,,0.3933129378541301,,0.31456948848253197,4074
sessile or subsessile,-0.2961775297231677,,-0.0743972923460979,0.0,0.250831216809051,,0.3933129378541301,,0.3063139270130621,271
solitary in leaf axils,-0.2947438017533539,,-0.06950977584420968,0.0,0.2581906335040582,,0.3933129378541301,,0.3117395546372819,2817
sometimes alternate distally,-0.31777477534091625,,-0.09630462234433759,0.0,0.2501669545192861,,0.3933129378541301,,0.3058181024836196,35
sometimes creeping,-0.30041251684920695,,-0.07883866980186631,0.0,0.25038894587025917,,0.3933129378541301,,0.30598391707859784,114
sprawling or ascending,-0.30136103017646587,,-0.07379499554743307,0.0,0.26354924793789425,,0.3933129378541301,,0.3156136286052542,4569
stamens 10-12,-0.31771238288214,,-0.09627122405948285,0.0,0.25009496402877696,,0.3933129378541301,,0.3057643052154578,10
stamens 10-14,0.2227981430172919,-0.07166782650663062,,1.0,0.24283307187263958,0.46265328874024525,0.39098546223361463,0.6326219512195121,0.2995942710498774,1794
stamens 12,0.2059879950748566,0.007799930578408443,-0.060998712349505775,0.6229485588194732,0.21611372027023634,0.3871603668466615,0.39496029742507,0.47753462311026534,0.27936497630024026,14508
stamens 2-3,-0.3179945918752358,,-0.09642236887808267,0.0,0.25042069108595927,,0.3933129378541301,,0.3060076195573333,123
stamens 4-6,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317
stamens 5-8,-0.2928346746558539,,-0.06620999452184698,0.0,0.26098498498498496,,0.3933129378541301,,0.3137676816544035,3761
stamens 6,-0.18239493451762345,,0.06136486060645638,0.0,0.2765445612605962,,0.3933129378541301,,0.3247513209323877,9779
stamens 8,-0.31771238288214,,-0.09627122405948285,0.0,0.25009496402877696,,0.3933129378541301,,0.3057643052154578,10
subsessile,-0.3045026300760655,,-0.07490048516001432,0.0,0.2682047673715266,,0.3933129378541301,,0.31892844036697243,6043
usually with a darker midrib,-0.2780294767831502,,-0.05601058631159917,0.0,0.2512285651515327,,0.3933129378541301,,0.30661003076402027,419
with flowers in whorled clusters,0.3196481590930169,-0.005167988980381177,0.9040430668479618,1.0,0.20088792955431822,0.3972216031498403,0.39205361416945905,0.5685878349638451,0.2656546489563567,13485
