;confidence;lift;support;antecedent_1;antecedent_2;antecedent_3;antecedent_4
0;0.9824079164376032;15.272955772522453;0.051964290906976;prostrate_and_spreading;;;
1;0.9715189873417722;18.137658227848103;0.0535636395358981;flowers_solitary_in_leaf_axils;;;
2;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_red_dotted;;;
3;0.9715189873417722;18.137658227848103;0.0535636395358981;flowers_solitary_in_leaf_axils;petals_purple;;
4;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_obconic;petals_purple;;
5;0.9715189873417722;18.137658227848103;0.0535636395358981;petals_purple;floral_tube_red_dotted;;
6;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;inflorescence_raceme;;
7;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;flowers_solitary_in_leaf_axils;;
8;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;floral_tube_red_dotted;;
9;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;floral_tube_obconic;;
10;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_obconic;flowers_solitary_in_leaf_axils;;
11;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;flowers_solitary_in_leaf_axils;;
12;0.971868720696584;20.47891754658997;0.0421937247375614;sprawling_or_ascending;stamens_12;obtuse_to_truncate_at_the_base;
13;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;floral_tube_red_dotted;;
14;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_obconic;floral_tube_red_dotted;;
15;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;flowers_solitary_in_leaf_axils;petals_purple;
16;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;inflorescence_raceme;petals_purple;
17;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;floral_tube_obconic;petals_purple;
18;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;petals_purple;floral_tube_red_dotted;
19;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple;
20;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;floral_tube_obconic;petals_purple;
21;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;flowers_solitary_in_leaf_axils;petals_purple;
22;0.9715189873417722;18.137658227848103;0.0535636395358981;flowers_solitary_in_leaf_axils;petals_purple;floral_tube_red_dotted;
23;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;petals_purple;floral_tube_red_dotted;
24;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;inflorescence_raceme;stamens_5_8;opposite
25;0.9715189873417722;18.137658227848103;0.0535636395358981;flowers_solitary_in_leaf_axils;floral_tube_red_dotted;;
26;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_obconic;
27;0.9627791563275432;28.444168734491317;0.0338480328011864;stamens_5_8;'trait_opposite;_becoming_alternate_distally_present';
28;0.96460843373494;25.895331325301207;0.0372502835208933;stamens_5_8;petals_purple;;
29;0.9647168059424328;28.50141429514976;0.0302131495536363;petals_purple;erect;opposite;linear
30;0.9710830704521556;18.080441640378552;0.0537090348658001;floral_tube_obconic;;;
31;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;stamens_5_8;opposite;'trait_opposite
32;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;inflorescence_raceme;linear;
33;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;petals_purple;linear;
34;0.9652333028362304;28.084193225870347;0.0306784146093227;erect;stamens_5_8;;
35;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;stamens_5_8;'trait_opposite;_becoming_alternate_distally_present'
36;0.9647168059424328;28.50141429514976;0.0302131495536363;erect;stamens_5_8;opposite;
37;0.9652333028362304;28.084193225870347;0.0306784146093227;erect;stamens_5_8;petals_purple;
38;0.9652333028362304;28.084193225870347;0.0306784146093227;erect;inflorescence_raceme;stamens_5_8;
39;0.9652333028362304;18.35485733571762;0.0306784146093227;erect;inflorescence_raceme;stamens_5_8;petals_purple
40;0.9703252032520324;1.8569011360397407;0.0694117304952165;stamens_5_8;opposite;;
41;0.9703703703703704;2.380812868785874;0.0114280729302974;usually_with_a_darker_midrib;;;
42;0.9715189873417722;18.137658227848103;0.0535636395358981;stamens_12;inflorescence_raceme;floral_tube_obconic;
43;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;stamens_12
44;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;flowers_solitary_in_leaf_axils;petals_purple;stamens_12
45;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;stamens_12
46;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;petals_purple
47;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple
48;0.9627791563275432;28.444168734491317;0.0338480328011864;stamens_5_8;petals_purple;'trait_opposite;_becoming_alternate_distally_present'
49;0.9718940936863544;12.590385005704048;0.0693826514292361;sprawling_or_ascending;;;
50;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;floral_tube_obconic;stamens_12
51;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_obconic
52;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_obconic
53;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;stamens_12;flowers_solitary_in_leaf_axils;floral_tube_red_dotted
54;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple
55;0.971868720696584;20.47891754658997;0.0421937247375614;petals_purple;sprawling_or_ascending;obtuse_to_truncate_at_the_base;
56;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;inflorescence_raceme
57;0.9715189873417722;18.137658227848103;0.0535636395358981;floral_tube_obconic;petals_purple;floral_tube_red_dotted;
58;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_red_dotted;
59;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;petals_purple;stamens_12
60;0.9710830704521556;18.080441640378552;0.0537090348658001;inflorescence_raceme;floral_tube_obconic;;
61;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;inflorescence_raceme;petals_purple
62;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple
63;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;stamens_12;floral_tube_red_dotted
